category,average_discount_percentage
Computers&Accessories|Tablets,0.29
Computers&Accessories|Monitors,0.505
Computers&Accessories|Components|Memory,0.49
Computers&Accessories|NetworkingDevices,0.66
MusicalInstruments|Microphones|Condenser,0.45999999999999996
HomeImprovement|Electrical|CordManagement,0.58
Electronics|HomeAudio|Accessories|Adapters,0.65
Electronics|Accessories|MemoryCards|MicroSD,0.58846153846153848
"Electronics|HomeTheater,TV&Video|Projectors",0.42666666666666664
Electronics|WearableTechnology|SmartWatches,0.69815789473684231
Electronics|Cameras&Photography|VideoCameras,0.75
Electronics|HomeAudio|Speakers|TowerSpeakers,0.43
Electronics|PowerAccessories|SurgeProtectors,0.14
Home&Kitchen|CraftMaterials|PaintingMaterials,0.0
Home&Kitchen|CraftMaterials|Scrapbooking|Tape,0.21
Electronics|HomeAudio|Speakers|OutdoorSpeakers,0.5625
Computers&Accessories|NetworkingDevices|Routers,0.44666666666666666
Electronics|HomeAudio|Speakers|SoundbarSpeakers,0.6
Computers&Accessories|Laptops|TraditionalLaptops,0.38
Electronics|Cameras&Photography|Accessories|Film,0.0
"Electronics|Headphones,Earbuds&Accessories|Cases",0.76
Electronics|HomeAudio|Speakers|BluetoothSpeakers,0.485
HomeImprovement|Electrical|Adapters&Multi-Outlets,0.57
"Electronics|Headphones,Earbuds&Accessories|Earpads",0.9
OfficeProducts|OfficeElectronics|Calculators|Basic,0.0
Computers&Accessories|Components|InternalHardDrives,0.8
Electronics|GeneralPurposeBatteries&BatteryChargers,0.235
"Electronics|Headphones,Earbuds&Accessories|Adapters",0.88
"Home&Kitchen|Heating,Cooling&AirQuality|Humidifiers",0.39333333333333337
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters",0.515
Home&Kitchen|CraftMaterials|PaintingMaterials|Paints,0.093333333333333324
Computers&Accessories|Accessories&Peripherals|USBHubs,0.434
Electronics|Accessories|MemoryCards|SecureDigitalCards,0.44
"Electronics|HomeTheater,TV&Video|Accessories|3DGlasses",0.23
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|TableFans",0.42
Electronics|HomeAudio|Speakers|MultimediaSpeakerSystems,0.38
"Electronics|HomeTheater,TV&Video|AVReceivers&Amplifiers",0.36
OfficeProducts|OfficeElectronics|Calculators|Scientific,0.025
"Computers&Accessories|Printers,Inks&Accessories|Printers",0.13666666666666666
Electronics|Mobiles&Accessories|MobileAccessories|Décor,0.732
Electronics|Mobiles&Accessories|MobileAccessories|Stands,0.7639999999999999
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|CeilingFans",0.38181818181818183
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|ExhaustFans",0.2466666666666667
Computers&Accessories|Components|InternalSolidStateDrives,0.48
Computers&Accessories|NetworkingDevices|DataCards&Dongles,0.35
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|PedestalFans",0.4
Computers&Accessories|Accessories&Peripherals|HardDiskBags,0.54333333333333333
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances,0.39
Computers&Accessories|ExternalDevices&DataStorage|PenDrives,0.56900000000000006
Computers&Accessories|NetworkingDevices|Repeaters&Extenders,0.54333333333333345
Electronics|Cameras&Photography|SecurityCameras|DomeCameras,0.426
Electronics|HomeAudio|Accessories|SpeakerAccessories|Mounts,0.73
"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",0.59510204081632667
"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",0.5826923076923074
"Electronics|Headphones,Earbuds&Accessories|Headphones|On-Ear",0.52374999999999994
Electronics|HomeAudio|MediaStreamingDevices|StreamingClients,0.0
Electronics|Mobiles&Accessories|MobileAccessories|StylusPens,0.64625
"Electronics|HomeTheater,TV&Video|Accessories|Cables|RCACables",0.505
"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",0.38285714285714284
Computers&Accessories|Accessories&Peripherals|USBGadgets|Lamps,0.16
Electronics|Cameras&Photography|Flashes|Macro&RinglightFlashes,0.6
"Electronics|Headphones,Earbuds&Accessories|Headphones|Over-Ear",0.69
"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",0.59791666666666676
Home&Kitchen|CraftMaterials|DrawingMaterials|DrawingMedia|Pens,0.1
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|FanHeaters",0.4245
Computers&Accessories|Accessories&Peripherals|LaptopAccessories,0.44
OfficeProducts|OfficeElectronics|Calculators|Financial&Business,0.0
"Electronics|HomeTheater,TV&Video|Televisions|StandardTelevisions",0.52166666666666672
Electronics|Cameras&Photography|Accessories|Cleaners|CleaningKits,0.4
"Electronics|HomeTheater,TV&Video|Accessories|Cables|OpticalCables",0.46333333333333332
"Electronics|HomeTheater,TV&Video|Accessories|Cables|SpeakerCables",0.5
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|HalogenHeaters",0.29500000000000004
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|HeatConvectors",0.27
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Juicers,0.525
Computers&Accessories|ExternalDevices&DataStorage|ExternalHardDisks,0.27
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|ElectricHeaters",0.36000000000000004
Electronics|Mobiles&Accessories|MobileAccessories|Décor|PhoneCharms,0.9
Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,0.23294117647058826
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|MilkFrothers",0.41333333333333333
Electronics|Mobiles&Accessories|MobileAccessories|Chargers|PowerBanks,0.38
Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|BasicMobiles,0.18555555555555556
"Home&Kitchen|Heating,Cooling&AirQuality|AirPurifiers|HEPAAirPurifiers",0.41000000000000009
Home&Kitchen|HomeStorage&Organization|LaundryOrganization|LaundryBags,0.6
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|CoffeePresses",0.27
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|EggBoilers,0.52909090909090917
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandMixers,0.42
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|RotiMakers,0.33
Toys&Games|Arts&Crafts|Drawing&PaintingSupplies|ColouringPens&Markers,0.0
Car&Motorbike|CarAccessories|InteriorAccessories|AirPurifiers&Ionizers,0.42
Computers&Accessories|Accessories&Peripherals|TabletAccessories|Stands,0.7
"Electronics|HomeTheater,TV&Video|SatelliteEquipment|SatelliteReceivers",0.51333333333333331
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|StandMixers,0.48
Computers&Accessories|Accessories&Peripherals|Adapters|USBtoUSBAdapters,0.78499999999999992
"Computers&Accessories|Printers,Inks&Accessories|Printers|InkjetPrinters",0.115
Electronics|Cameras&Photography|Accessories|Tripods&Monopods|TripodLegs,0.625
Electronics|GeneralPurposeBatteries&BatteryChargers|DisposableBatteries,0.14285714285714285
Electronics|Mobiles&Accessories|MobileAccessories|Chargers|WallChargers,0.51437499999999992
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandBlenders,0.41684210526315796
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|YogurtMakers,0.55
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Lapdesks,0.5892857142857143
Computers&Accessories|Accessories&Peripherals|UninterruptedPowerSupplies,0.2
Computers&Accessories|NetworkingDevices|NetworkAdapters|PowerLANAdapters,0.4
Electronics|Mobiles&Accessories|MobileAccessories|Mounts|HandlebarMounts,0.66
Home&Kitchen|HomeStorage&Organization|LaundryOrganization|LaundryBaskets,0.44846153846153847
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|EspressoMachines",0.17
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MixerGrinders,0.43962962962962965
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|VacuumSealers,0.31428571428571428
Computers&Accessories|NetworkingDevices|NetworkAdapters|BluetoothAdapters,0.33
Electronics|GeneralPurposeBatteries&BatteryChargers|RechargeableBatteries,0.13333333333333333
Electronics|Mobiles&Accessories|MobileAccessories|Cases&Covers|BasicCases,0.7075
Home&Kitchen|Kitchen&Dining|KitchenTools|ManualChoppers&Chippers|Choppers,0.6
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Pop-upToasters,0.13
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SandwichMakers,0.32363636363636367
OfficeProducts|OfficePaperProducts|Paper|Copy&PrintingPaper|ColouredPaper,0.0
Computers&Accessories|Accessories&Peripherals|HardDriveAccessories|Caddies,0.75
Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|Gamepads,0.52333333333333332
Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|Headsets,0.56666666666666665
Computers&Accessories|ExternalDevices&DataStorage|ExternalSolidStateDrives,0.68
Electronics|Mobiles&Accessories|MobileAccessories|Mounts|Shower&WallMounts,0.82
"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|ImmersionRods",0.31777777777777777
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|DripCoffeeMachines",0.374
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|CoolingPads,0.45
Computers&Accessories|ExternalDevices&DataStorage|ExternalMemoryCardReaders,0.45
Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,0.49111111111111105
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|InductionCooktop,0.44899999999999995
Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|GamingMice,0.335
Electronics|Mobiles&Accessories|MobileAccessories|Mounts|Bedstand&DeskMounts,0.745
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|StovetopEspressoPots",0.54
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|OvenToasterGrills,0.095
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Rice&PastaCookers,0.318
Electronics|Mobiles&Accessories|MobileAccessories|Cables&Adapters|OTGAdapters,0.72
Electronics|Mobiles&Accessories|MobileAccessories|Chargers|AutomobileChargers,0.58000000000000007
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|WaffleMakers&Irons,0.53333333333333333
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice",0.42041666666666672
Electronics|Cameras&Photography|Accessories|Batteries&Chargers|BatteryChargers,0.25
"Home&Kitchen|Heating,Cooling&AirQuality|Parts&Accessories|FanParts&Accessories",0.59
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|JuicerMixerGrinders,0.44166666666666665
Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterCartridges,0.03
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCHeadsets,0.35
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCSpeakers,0.46499999999999997
Electronics|Mobiles&Accessories|MobileAccessories|AutomobileAccessories|Cradles,0.60333333333333339
Home&Kitchen|CraftMaterials|DrawingMaterials|DrawingMedia|Pencils|WoodenPencils,0.0
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DigitalKitchenScales,0.539
Computers&Accessories|Accessories&Peripherals|TabletAccessories|ScreenProtectors,0.638
Electronics|Cameras&Photography|Accessories|Tripods&Monopods|CompleteTripodUnits,0.38
Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|Tripods,0.66
"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|InstantWaterHeaters",0.4804347826086956
"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|StorageWaterHeaters",0.45083333333333331
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|DVICables,0.55
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,0.59377682403433485
Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|GamingKeyboards,0.38999999999999996
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries",0.53
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCMicrophones,0.565
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|SATACables,0.65
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DeepFatFryers|AirFryers,0.44
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboards",0.35
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|CameraPrivacyCovers,0.25666666666666665
Electronics|Cameras&Photography|Accessories|Tripods&Monopods|Tabletop&TravelTripods,0.69500000000000006
"Home&Kitchen|Heating,Cooling&AirQuality|AirConditioners|Split-SystemAirConditioners",0.43
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Juicers|ColdPressJuicers,0.47
Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|SelfieSticks,0.654
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Mills&Grinders|WetGrinders,0.215
Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterFilters&Purifiers,0.425
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|EthernetCables,0.54
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|NotebookComputerStands,0.75666666666666671
"Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges|TonerCartridges",0.48
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MiniFoodProcessors&Choppers,0.41875
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|CoffeeGrinders|ElectricGrinders",0.51
Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterPurifierAccessories,0.4081818181818182
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|GraphicTablets",0.60818181818181816
"Computers&Accessories|Accessories&Peripherals|TabletAccessories|Bags,Cases&Sleeves|Cases",0.70500000000000007
Home&Kitchen|Kitchen&HomeAppliances|SewingMachines&Accessories|Sewing&EmbroideryMachines,0.40499999999999997
Home&Kitchen|HomeStorage&Organization|LaundryOrganization|IroningAccessories|SprayBottles,0.47
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|CableConnectionProtectors,0.9
"Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges|InkjetInkCartridges",0.13
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SmallApplianceParts&Accessories,0.08
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MouseSets",0.32099999999999995
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|LaptopChargers&PowerSupplies,0.61
"Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges|InkjetInkRefills&Kits",0.73
"Electronics|HomeTheater,TV&Video|Accessories|TVMounts,Stands&Turntables|TVWall&CeilingMounts",0.51166666666666671
"Electronics|Mobiles&Accessories|MobileAccessories|Maintenance,Upkeep&Repairs|ScreenProtectors",0.66857142857142859
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DigitalKitchenScales|DigitalScales,0.235
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|CoffeeMakerAccessories|MeasuringSpoons",0.56333333333333335
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|PressureWashers,Steam&WindowCleaners",0.44333333333333336
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|Webcams&VoIPEquipment|Webcams,0.44500000000000006
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|LintShavers",0.51318181818181818
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Bags&Sleeves|LaptopSleeves&Slipcases,0.6183333333333334
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|RoboticVacuums",0.45
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|Wet-DryVacuums",0.4366666666666667
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|Notepads&MemoBooks",0.62
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|WireboundNotebooks",0.0575
Health&PersonalCare|HomeMedicalSupplies&Equipment|HealthMonitors|WeighingScales|DigitalBathroomScales,0.53
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers|ElectricKettles,0.39000000000000007
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|DryIrons",0.34250000000000008
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|CanisterVacuums",0.28250000000000003
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|HandheldVacuums",0.3775
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|CompositionNotebooks",0.12000000000000001
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|SteamIrons",0.23833333333333334
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers|Kettle&ToasterSets,0.44230769230769229
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|BottledInk",0.05
Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|Flashes&SelfieLights|SelfieLights,0.51
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|FountainPens",0.0
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MiceAccessories|MousePads",0.61249999999999993
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MiceAccessories|DustCovers",0.875
Electronics|Cameras&Photography|Accessories|PhotoStudio&Lighting|PhotoBackgroundAccessories|BackgroundSupports,0.46
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SmallApplianceParts&Accessories|StandMixerAccessories,0.0
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|StickBallpointPens",0.13
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|GelInkRollerballPens",0.0
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|LiquidInkRollerballPens",0.05
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|RetractableBallpointPens",0.175
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|VacuumAccessories|VacuumBags|HandheldBags",0.49